CommonName	ScientificName	Midland Watersnake	Description	State
Javan File Snake	Acrochordus javanicus	NON-VENOMOUS	Adult Javan File Snakes in Sumatra, Indonesia average 46 inches (118 cm) for males and 53 inches (135 cm) for females in snout-vent length, but they can reach 9.5 feet (290 cm) in total length. These are large snakes with dark brown backs and cream-colored sides and bellies. These snakes have loose, baggy skin that feels rough like course sandpaper due to the large hook-like keels on each scale. The eyes and nostrils are positioned on top of the head, which is covered in tiny scales. Juvenile color pattern is similar to that of adults.	FL
Rim Rock Crowned Snake	Tantilla oolitica	NON-VENOMOUS	Most adult Rim Rock Crowned Snakes are about 7-9 inches (18-23 cm) in total length. These small and thin snakes are tan to light brown with a dark brown or black head and neck. The tip of the snout is tan-colored. The eyes are small. Juveniles are similar in coloration to adults.	FL
Queensnake	Regina septemvittata	NON-VENOMOUS	Most adult Queensnakes are about 15-24 inches (38-61 cm) in total length. These slender snakes are brownish to olive-green with a yellowish or cream-colored stripe on the lower side of a body. The lip scales are cream-colored and contrast sharply with the rest of the brown head. The scales on the body are dull and strongly keeled (each scale has a prominent raised ridge). Juvenile coloration is similar to that of adults.	AL, AR, DC, GA, IL, IN, KY, MD, MO, NC, NY, OH, PA, TN, VA, WV
South Florida Mole Kingsnake	Lampropeltis occipitolineata	NON-VENOMOUS	Most adult South Florida Mole Kingsnakes are about 30-42 inches (76-107 cm) in total length. Adults are gray, brown, or tan with at least 75 black-bordered reddish-brown blotches down the body and tail. Older individuals may be almost solid brown. The neck is indistinct, and there is sometimes a dark line through the eye. There is a network of dark lines on the back of the head. Juveniles are similar in appearance to adults but more vivid and with a silvery ground color.	FL
Southeastern Crowned Snake	Tantilla coronata	NON-VENOMOUS	Most adult Southeastern Crowned Snakes are about 8-10 inches (20-26 cm) in total length. These small and thin snakes are tan to reddish brown with a black head. There is a light-colored band across the back of the head and a black band extending onto the back of the neck. Hatchlings are grayish in coloration and have darker heads than adults.	AL, FL, GA, NC, SC
Short-tailed Kingsnake	Lampropeltis extenuata	NON-VENOMOUS	Most adult Short-tailed Kingsnakes are about 14-20 inches (36-51 cm) in total length. These are extremely slender gray snakes with a pattern of black blotches or spots. The light-colored spaces between the black spots on the back often have an orange center giving the impression of an indistinct orange stripe running down the back. The blunt head is very small and roughly the same diameter as the body. The top of the head is dark brown or black. Juvenile coloration is similar to that described for adults.	FL
Southern Hog-nosed Snake	Heterodon simus	NON-VENOMOUS	Most adult southern hog-nosed snakes are about 18-22 inches (45-55 cm) in total length. These are small, stout-bodied snakes with sharply upturned snouts. Adults can be light gray, tan, yellowish brown, or orangish-red, with large dark blotches down the middle of the back that alternate with smaller dark blotches on the sides. There is often reddish-orange coloration between the large blotches on the back. There is a dark line extending from the upper jaw through the eye. Juvenile coloration is similar to that described for adults but more vivid.	AL, FL, GA, MS, NC, SC
Apalachicola Kingsnake	Lampropeltis meansi	NON-VENOMOUS	Most adult Apalachicola Kingsnakes are about 36-48 inches (90-122 cm) in total length. These snakes are variable in coloration and distinguished from all other kingsnakes by their overall light body coloration, having either narrow or wide crossbands with considerably lightened color between the bands, or being non-banded (striped or patternless). Banded individuals have fewer than 26 yellowish and usually wide crossbands down the back. The neck is indistinct, and the scales are smooth and shiny. Banded juveniles are mostly black with white or yellowish crossbands down the body. Striped and patternless juveniles are mostly black and lack light crossbands.	FL
Boa Constrictor	Boa constrictor	NON-VENOMOUS	Most adult Boa Constrictors are about 10-16 feet (3-5 m) in total length. These are very large, stout-bodied snakes with dark brown hourglass-shaped saddles down the body that become reddish bands towards the tail. The background coloration is usually tan, light brown, grayish brown, or cream colored. The top of the head is tannish with a thin, dark stripe down the middle. There are dark, elongate markings behind the eyes that are often bordered by white below. Juvenile color pattern is similar to that of adults, except the coloration is more vivid.	FL
Plain-bellied Watersnake	Nerodia erythrogaster	NON-VENOMOUS	Most adult Plain-bellied Watersnakes are about 30-48 inches (76-122 cm) in total length. Adults are thick-bodied and are uniform greenish gray or reddish-brown in color with no patterning on the back. The belly, neck, and lip scales are almost uniform yellow or reddish-orange. Juveniles are grayish-brown with distinct dark crossbands and blotches. The juvenile pattern fades into the uniform adult coloration within about one year.	AL, AR, CO, FL, GA, IL, IN, IA, KS, KY, LA, MO, MS, NE, NC, OH, OK, SC, SD, TN, TX, VA
